,Life Expectancy,Cigarette consumption,Alcohol consumption,Incidence of tuberculosis per 100000 per year,GDP per Capita (Current US$),Income Gini Coefficient,Current health expenditure per capita (current US$),Total Population,"Population Density, Number of People/km2","Ambient Air Pollution, Concentration of Fine Particulate Matter PM2.5 (Ug/M3)",Ambient and Household Air Pollution Attributable Death Rate (per 100 000 Population),People using safely managed sanitation services (% of population),"People using safely managed drinking water services, urban (% of urban population)",EPI score,cardiovascular-disease-death-rates,Diabetes prevalence (% of population ages 20 to 79),Acute lower respiratory infections,asthma-prevalence,Democracy Index,"Human Development Index, 2019",Corruption Perceptions Index 2021,UHC service coverage index
10,66.181,30.4,0.03,49.0,690.75927,0.4202,106.416462,30490639.0,57.75,50.46,0.35,18.84,47.386,33.160000000000004,513.0910435,5.4,9.6,4.064819343,1.95,0.47,16.0,44.0
11,79.308,26.3,10.37,2.4,17033.93719,0.3562,1143.32202,287708.0,669.09,23.08,1.74,45.306,53.720000000000006,53.2,186.0558984,14.0,0.3,7.238392363,6.65,0.814,65.0,74.0
12,74.053,24.7,4.8,9.1,28239.36671,0.3188,2004.61633,396914.0,39.65,17.37,0.62,56.624,72.02000000000001,56.2,247.0927454,8.8,1.0,5.935087104,6.65,0.814,64.0,70.0
13,73.166,2.7,6.56,39.0,3445.756536,0.3148000000000001,177.89027,561901.0,139.43,34.78,0.47,68.592,90.09200000000001,41.9,259.2004182,2.1,2.0,2.560638839,7.65,0.665,58.0,69.0
14,72.426,23.6,8.96,2.8,9928.621733,0.36819999999999997,534.27441,113015.0,332.4,22.72,1.57,45.306,53.720000000000006,47.9,270.6416087,12.6,0.3,7.42441992,6.65,0.779,53.0,70.0
15,73.082,20.9,0.027,59.0,6018.445207,0.37220000000000003,483.12673000000007,6958538.0,3.95,54.25,0.66,21.62,67.974,40.12,282.0769339,8.7,1.2,3.891688097,1.95,0.724,17.0,60.0
16,72.658,81.6,7.15,6.7,7996.614002,0.36819999999999997,354.80865,111269.0,285.31,22.2,1.1,45.306,53.720000000000006,53.2,292.1938766,8.0,0.7,5.946592086,6.65,0.738,59.0,73.0
17,73.45,20.0,2.82,6.1,3939.113696,0.36819999999999997,271.91577,200144.0,70.72,11.55,1.29,47.72,53.720000000000006,36.4,406.178623,9.2,1.6,3.081640053,6.65,0.715,48.2,53.0
18,73.132,3.4,1.74,65.0,2336.968134,0.33740000000000003,111.90449,703995.0,25.15,11.88,1.15,64.898,79.888,35.0,817.6601398,19.8,2.8,3.567910677,5.366,0.567,43.0,50.0
19,65.53,17.4,6.602000000000001,63.0,764.3410034,0.3982,46.92884,44909351.0,24.29,55.37,0.38,50.824,80.81800000000001,27.6,466.997232,18.9,9.0,4.346955462,2.47,0.51,20.0,44.0
